rainfall_mm,temperature_c,road_condition,traffic_level,slope_risk,historical_incidents,previous_landslides,flood_risk,bridge_condition,disruption_probability,is_disrupted
242.1,23.4,3,0,28.3,4,2,0,2,54.6,0
26.7,29.2,1,0,41.2,3,2,0,1,16.8,0
13.1,38.0,1,2,55.6,3,2,1,1,26.5,0
101.3,26.6,0,2,34.9,9,2,1,0,30.7,0
69.9,23.3,3,1,64.8,0,2,3,0,45.7,0
44.8,27.3,1,0,18.1,2,3,0,2,24.9,0
52.7,20.8,0,0,35.4,4,2,1,0,17.9,0
82.6,37.3,1,0,24.1,7,3,0,3,28.2,0
16.9,24.1,0,1,74.2,5,2,0,2,22.7,0
350.0,21.4,1,1,57.8,6,4,2,0,74.8,1
239.2,18.0,1,1,37.2,5,0,0,3,41.4,0
68.3,29.6,0,1,76.8,2,1,0,2,44.0,0
14.5,28.2,0,0,73.4,5,4,0,2,29.7,0
74.1,20.0,3,0,51.3,4,3,3,2,51.1,0
4.9,26.5,2,0,70.8,3,1,0,2,23.9,0
2.0,13.9,2,0,58.9,5,2,0,1,28.4,0
19.4,24.1,1,0,68.4,5,3,1,0,21.3,0
40.4,25.7,2,1,61.4,4,6,0,0,33.3,0
131.8,33.2,1,2,67.9,7,1,1,0,46.4,0
84.4,18.4,0,2,91.3,6,1,0,1,31.2,0
88.2,15.3,0,2,73.1,5,0,1,0,35.7,0
36.0,17.6,0,1,53.9,4,3,0,0,19.5,0
27.6,15.0,0,1,74.5,7,3,0,0,27.5,0
30.1,31.0,3,0,64.3,5,1,1,3,36.4,0
285.6,32.3,0,3,75.7,4,2,1,0,62.6,1
2.7,24.9,1,0,92.9,5,4,0,0,31.2,0
131.1,30.3,1,0,38.0,5,9,0,1,34.6,0
56.2,23.8,0,0,28.5,5,2,0,1,14.5,0
37.5,22.4,1,3,85.9,7,3,1,0,45.6,0
84.0,21.0,0,3,27.6,6,2,1,0,26.5,0
43.3,21.1,2,2,63.4,8,2,0,2,36.2,0
134.3,13.7,0,1,75.8,8,3,0,0,38.6,0
150.1,24.6,1,1,23.7,11,2,0,0,34.2,0
35.6,22.8,2,3,36.0,2,2,0,2,31.5,0
21.1,27.5,2,1,71.3,6,1,0,2,40.7,0
58.3,23.6,2,3,80.2,8,1,1,0,43.8,0
158.2,22.0,1,0,70.5,5,4,3,0,53.2,0
15.4,17.8,1,0,37.7,6,2,1,0,24.0,0
63.4,23.4,1,2,91.0,4,1,0,1,32.9,0
64.9,27.4,2,0,75.2,1,2,0,1,39.2,0
85.9,16.1,2,3,44.4,3,5,1,0,45.8,0
9.2,23.5,0,1,66.1,7,2,0,1,24.7,0
81.8,24.4,1,2,47.7,6,3,0,2,27.0,0
155.8,18.7,2,0,93.8,2,4,1,0,51.3,0
12.9,19.5,1,1,67.5,1,1,1,0,22.1,0
17.6,24.4,0,1,32.8,2,2,0,0,7.8,0
231.0,16.2,1,1,29.4,3,4,0,2,45.0,0
13.0,25.1,1,1,46.7,3,4,0,0,13.2,0
125.2,17.6,3,3,35.5,4,2,0,0,41.5,0
44.1,29.4,1,1,51.0,5,2,1,0,32.2,0
18.5,37.0,0,0,72.7,4,4,2,2,35.9,0
133.0,17.8,0,2,65.3,4,1,2,3,52.7,0
38.3,26.2,0,0,73.6,2,1,0,0,18.9,0
47.0,18.6,1,0,40.2,4,1,1,0,24.2,0
28.9,29.2,1,0,81.5,7,4,3,2,40.4,0
58.4,15.4,0,2,64.6,4,3,2,0,26.6,0
11.6,25.9,1,0,90.6,3,1,1,0,24.1,0
32.2,17.8,2,0,11.1,2,1,0,1,14.8,0
226.7,21.8,0,2,34.6,4,2,0,0,34.4,0
19.4,16.8,0,2,86.1,6,3,0,0,33.7,0
69.5,27.9,3,0,38.0,6,3,2,0,37.5,0
25.6,18.0,1,2,28.1,6,1,1,2,37.0,0
96.5,26.3,2,2,59.0,4,0,0,0,41.5,0
9.1,20.9,1,0,76.2,3,1,2,2,30.1,0
227.5,22.3,2,2,40.6,5,4,2,0,59.9,1
39.3,23.9,2,1,23.1,4,2,2,1,35.7,0
17.5,18.4,1,1,47.8,6,4,2,1,31.5,0
5.0,24.3,2,1,10.5,7,5,0,0,20.2,0
12.1,32.2,3,1,14.7,5,3,2,2,32.4,0
47.7,18.3,1,0,53.2,4,2,0,2,37.6,0
26.7,30.0,0,2,76.9,3,5,2,1,44.5,0
114.8,32.0,1,0,70.6,7,5,2,0,42.3,0
36.6,18.1,2,1,68.6,1,0,1,1,40.3,0
18.6,14.3,1,0,34.9,2,2,1,0,17.0,0
62.4,24.8,0,2,64.1,3,2,0,0,30.5,0
79.7,19.7,0,0,64.5,3,2,0,1,27.5,0
11.9,34.2,1,1,30.1,1,1,1,0,17.8,0
11.9,23.2,0,1,43.4,3,2,1,0,14.4,0
2.4,18.2,1,2,18.3,7,10,0,0,22.5,0
86.7,16.1,2,1,59.7,3,1,2,0,42.0,0
70.9,29.5,1,2,18.8,14,5,0,3,37.3,0
41.8,19.6,0,0,34.7,7,0,0,2,17.4,0
120.8,23.3,0,0,81.3,4,4,0,0,39.4,0
106.5,28.7,0,1,70.5,6,4,2,0,40.2,0
57.2,20.1,0,3,89.9,3,2,0,0,33.7,0
131.8,22.7,1,0,64.9,3,4,0,2,38.3,0
15.0,22.9,1,0,72.6,5,2,0,0,24.8,0
7.7,27.1,0,0,19.7,5,1,2,3,24.3,0
20.4,26.5,0,1,66.2,9,2,1,0,26.4,0
3.8,21.7,0,0,59.3,7,4,2,1,30.2,0
49.2,23.4,3,2,31.9,5,0,0,3,34.9,0
179.3,20.8,1,0,33.6,9,2,1,0,32.5,0
2.6,14.1,2,0,46.1,6,1,3,0,29.4,0
8.5,24.5,2,0,52.1,4,2,0,1,26.9,0
39.1,34.4,1,1,28.8,3,2,2,1,32.4,0
176.6,17.7,2,1,85.3,4,0,3,1,67.9,1
24.7,18.4,0,0,71.1,4,2,0,1,25.2,0
46.0,17.8,1,3,55.6,3,4,0,0,23.6,0
2.8,27.3,0,0,69.5,4,3,0,1,25.8,0
10.4,25.7,2,1,54.1,3,1,2,0,32.5,0
280.5,22.0,0,1,50.9,8,4,1,0,47.7,0
218.1,17.5,2,0,83.1,7,3,0,1,57.6,1
0.3,23.6,0,2,78.0,6,4,2,0,34.6,0
197.1,13.6,2,2,64.4,7,3,0,0,48.6,0
66.2,23.9,0,0,78.8,5,2,0,2,31.8,0
131.6,28.2,1,1,98.1,6,2,0,1,42.1,0
39.4,15.5,1,0,81.4,5,2,1,1,33.0,0
47.1,13.8,1,1,62.4,4,0,1,1,25.6,0
43.6,32.5,1,0,16.1,3,5,0,1,21.9,0
71.4,19.3,3,2,85.3,3,2,0,1,48.0,0
9.8,29.8,0,0,29.5,6,3,1,0,19.7,0
2.0,22.1,3,0,69.5,6,4,2,2,48.0,0
23.9,22.0,1,0,47.7,4,0,2,0,21.2,0
79.3,25.6,2,0,54.9,6,4,1,0,37.7,0
14.7,17.7,1,1,79.0,6,3,0,0,30.2,0
72.7,23.8,1,0,50.0,3,4,1,2,31.7,0
227.7,20.7,2,2,49.1,6,3,0,0,53.8,0
6.4,15.1,1,0,81.6,2,1,1,0,24.7,0
72.6,25.0,1,1,66.4,3,1,0,2,31.6,0
38.1,21.4,0,1,49.7,3,0,0,3,24.4,0
131.7,22.1,0,3,23.3,4,5,0,1,27.0,0
12.7,15.7,1,3,21.8,3,2,0,0,12.5,0
76.7,32.5,2,2,40.1,5,4,0,0,36.3,0
118.4,28.3,1,2,58.2,3,1,0,1,34.1,0
188.1,28.8,0,0,41.9,3,1,0,1,26.9,0
74.7,21.2,1,2,52.6,1,2,1,0,25.8,0
44.7,12.6,1,3,17.9,3,2,3,1,29.6,0
62.5,34.7,1,0,78.1,6,1,1,0,29.0,0
132.1,22.6,2,1,81.1,3,2,2,3,49.4,0
55.0,18.5,2,0,62.4,6,1,0,0,31.5,0
2.0,25.5,0,1,60.6,9,6,0,1,27.9,0
173.7,30.0,2,1,75.7,3,2,2,0,49.3,0
76.0,22.9,1,1,86.1,3,2,0,0,39.3,0
73.4,30.7,2,1,34.0,8,0,1,1,30.2,0
15.8,29.5,0,3,45.2,3,6,0,0,24.4,0
69.9,16.5,1,1,93.9,2,4,1,2,50.7,0
32.5,19.0,0,2,77.5,3,1,3,0,34.0,0
68.5,28.7,1,0,40.9,5,0,2,1,33.2,0
7.3,8.0,0,1,44.1,3,1,3,0,26.6,0
69.7,22.1,0,1,56.4,4,4,0,0,23.9,0
350.0,14.4,0,0,48.2,7,1,0,2,52.1,0
3.2,20.1,0,0,23.1,5,1,0,0,2.1,0
245.7,21.2,0,1,58.1,4,1,1,0,32.9,0
34.0,20.9,1,1,52.5,3,8,0,1,28.8,0
133.0,19.7,0,1,57.3,5,3,2,0,39.3,0
99.1,16.4,1,0,67.8,1,4,1,0,30.2,0
54.4,36.8,0,0,88.9,4,1,1,1,34.0,0
87.2,34.2,3,1,82.5,4,5,2,1,53.4,0
137.0,16.0,3,0,76.0,6,5,1,0,55.1,1
33.7,32.5,0,0,64.8,6,6,1,1,25.9,0
25.7,20.6,1,0,79.2,4,3,3,0,36.5,0
71.6,23.8,0,0,19.8,4,2,0,2,14.9,0
107.2,22.6,3,0,46.6,2,2,0,3,35.0,0
93.4,19.0,1,0,25.5,2,3,1,0,24.4,0
103.9,28.9,0,0,22.5,6,1,0,0,13.0,0
37.2,23.8,0,1,21.7,3,6,1,0,20.4,0
110.7,20.1,0,0,37.2,3,0,1,0,24.5,0
8.3,15.2,1,1,79.4,3,2,1,1,26.2,0
51.1,17.6,1,2,64.6,8,5,0,0,37.6,0
0.4,13.2,1,2,49.4,5,4,1,0,22.7,0
25.5,23.1,1,0,69.0,5,3,0,0,22.1,0
29.7,15.8,0,2,20.5,6,6,2,1,26.3,0
32.8,21.4,0,0,64.0,5,4,2,0,29.2,0
77.3,31.2,0,0,34.2,6,4,1,0,26.1,0
32.0,30.2,2,3,28.8,4,2,1,0,32.7,0
38.7,22.8,0,2,60.8,4,1,0,1,22.9,0
17.6,22.5,1,1,77.5,7,6,0,0,34.0,0
30.4,34.3,0,1,55.7,7,2,0,0,24.2,0
16.8,26.1,0,1,63.1,2,2,1,2,25.6,0
4.9,21.0,1,0,57.1,4,3,1,0,17.3,0
60.1,14.4,1,0,73.1,6,0,0,0,25.2,0
71.7,25.4,1,1,32.3,4,3,2,2,40.8,0
62.8,28.0,1,2,63.7,6,1,3,0,47.5,0
40.5,19.2,1,0,34.2,3,5,0,0,12.3,0
31.0,24.7,0,2,30.7,7,5,0,3,30.2,0
129.4,20.8,1,0,23.0,5,5,2,1,38.9,0
47.6,21.9,1,1,57.5,3,4,0,2,38.7,0
42.4,8.1,0,1,67.0,4,3,0,0,24.9,0
1.7,21.7,1,1,23.9,7,2,2,1,25.6,0
27.1,28.8,0,0,46.8,4,0,1,0,15.3,0
31.1,19.2,0,1,64.7,7,6,0,3,30.8,0
33.1,23.3,1,1,52.3,4,2,0,0,21.1,0
56.4,18.5,2,0,46.3,5,2,2,1,37.4,0
49.6,25.2,2,0,14.1,8,3,0,0,16.7,0
60.9,21.7,0,1,54.3,4,3,0,0,28.4,0
94.1,17.4,1,1,15.6,14,3,0,0,27.4,0
109.0,31.0,1,0,38.9,5,2,2,1,29.4,0
82.3,28.6,0,1,35.1,3,1,1,2,29.3,0
202.3,19.4,2,2,39.3,1,2,0,2,46.2,0
1.2,26.0,2,0,26.6,10,3,2,0,32.9,0
14.2,26.2,3,1,71.8,1,5,0,1,31.8,0
0.5,26.9,0,0,12.3,3,1,0,2,9.3,0
67.8,12.8,0,0,56.9,4,1,0,2,22.4,0
148.4,29.0,2,0,25.7,2,3,0,0,34.4,0
18.1,19.6,1,1,83.8,7,2,2,1,42.3,0
170.2,20.9,2,2,26.1,6,3,0,0,34.3,0
4.0,38.0,0,0,53.6,3,5,1,1,23.8,0
177.1,24.8,1,1,39.4,8,3,0,0,44.3,0
28.2,20.7,1,1,62.4,4,2,2,1,37.7,0
7.0,9.8,0,0,76.6,3,2,3,0,35.2,0
43.2,31.3,1,1,57.3,5,1,2,0,32.8,0
19.3,14.9,1,2,20.2,4,3,1,2,22.1,0
21.8,17.0,0,2,88.9,6,0,2,1,29.4,0
23.9,21.0,0,2,57.0,7,3,2,2,33.4,0
105.6,31.5,1,0,64.4,2,2,0,2,32.6,0
50.4,27.6,1,2,63.3,9,3,0,0,39.1,0
24.2,22.1,2,0,36.5,7,2,0,1,32.6,0
61.3,24.8,0,1,13.4,1,3,2,1,26.5,0
81.9,19.4,0,3,64.6,6,1,0,0,33.5,0
20.7,23.8,3,0,62.8,2,2,0,2,31.0,0
34.7,23.4,3,1,59.3,5,1,3,1,47.0,0
8.4,28.8,0,1,49.0,4,2,0,0,10.6,0
13.0,28.8,2,1,57.9,4,2,0,1,24.7,0
74.3,26.0,0,0,91.3,2,2,2,1,43.7,0
13.0,20.8,0,3,46.4,2,4,2,0,30.1,0
48.4,27.5,0,1,59.9,2,1,1,3,35.0,0
80.2,22.4,0,0,64.9,5,0,0,1,15.4,0
7.3,16.5,2,0,66.8,7,4,0,2,31.8,0
54.5,20.6,2,2,23.3,6,4,0,0,26.6,0
19.3,23.5,3,0,51.3,1,1,2,0,36.5,0
214.2,28.5,2,0,49.5,2,1,0,2,50.1,0
42.9,21.9,1,1,72.2,3,1,1,0,33.9,0
106.6,15.7,1,1,92.6,4,6,3,1,56.0,1
51.9,23.3,3,1,43.0,6,3,2,1,48.0,0
2.9,23.7,2,0,81.8,5,3,0,0,26.1,0
65.2,24.1,2,2,49.6,3,2,0,0,30.9,0
196.6,28.5,3,3,36.2,7,0,0,0,55.1,1
59.8,29.1,0,0,96.3,5,0,0,0,27.2,0
111.2,19.4,2,1,98.0,2,3,1,0,53.2,0
140.1,19.3,2,2,18.1,5,3,0,1,35.8,0
16.8,16.8,3,1,25.4,6,1,1,0,27.8,0
15.5,27.2,0,1,72.6,8,3,0,0,28.2,0
61.4,31.7,1,0,69.2,1,1,2,0,37.3,0
34.4,21.1,1,1,45.2,9,2,1,1,29.3,0
119.1,21.6,0,1,31.4,3,3,1,2,27.6,0
149.7,31.8,1,1,56.5,3,3,0,0,32.9,0
28.3,26.0,0,3,58.6,4,2,1,0,26.6,0
17.6,25.6,0,0,56.5,4,4,0,1,22.9,0
98.6,15.9,1,0,48.0,4,1,3,1,35.3,0
20.9,27.1,1,0,54.4,5,4,0,0,24.4,0
112.4,17.4,1,1,56.0,7,0,0,0,32.2,0
35.8,16.2,1,0,32.5,5,5,3,1,31.5,0
71.6,20.9,0,1,76.8,4,5,0,1,26.3,0
6.5,19.5,0,0,51.9,1,1,0,1,17.0,0
63.6,21.7,0,1,68.4,5,2,0,0,19.2,0
39.1,14.4,0,0,79.6,3,1,0,0,25.2,0
57.4,28.8,1,2,15.8,5,3,0,1,33.5,0
12.0,29.8,2,1,43.7,5,3,0,0,25.0,0
86.8,11.3,0,3,55.2,2,2,1,3,38.6,0
129.1,28.9,0,1,68.7,6,2,0,1,41.6,0
15.9,18.1,2,0,84.5,3,0,2,0,33.0,0
6.5,28.1,0,0,70.3,4,2,1,1,25.1,0
1.6,22.6,3,3,90.5,7,1,2,3,57.8,1
66.8,23.2,2,1,72.8,5,1,0,0,31.0,0
60.7,21.9,0,0,22.3,9,3,0,0,22.5,0
51.4,30.3,0,1,47.3,2,1,0,0,23.1,0
17.2,15.6,1,1,74.6,1,2,2,1,43.6,0
32.2,26.6,0,0,36.5,1,4,0,1,19.8,0
58.7,29.6,0,0,51.3,6,0,1,1,22.7,0
44.6,27.3,0,2,42.7,2,4,0,1,20.1,0
286.3,36.9,2,0,24.7,5,3,1,3,58.0,1
9.5,19.8,1,0,70.2,6,2,1,0,26.7,0
77.2,28.7,0,0,66.4,5,1,0,0,28.7,0
33.7,22.4,1,0,80.3,2,2,1,0,28.6,0
36.3,30.4,1,1,84.6,7,5,0,0,31.2,0
82.2,23.0,1,0,36.4,5,3,2,0,23.6,0
76.6,20.7,0,0,20.2,6,3,0,0,16.2,0
308.1,30.8,1,3,50.1,3,0,0,0,49.9,0
8.9,20.1,3,0,57.1,3,3,2,0,33.3,0
7.1,14.5,0,0,87.1,6,2,0,0,21.2,0
83.8,19.9,0,1,51.9,7,3,0,0,26.7,0
56.1,26.7,0,1,41.2,2,5,0,0,18.2,0
20.8,31.4,0,2,72.4,2,0,0,1,21.8,0
5.4,23.7,1,0,25.9,7,3,1,0,24.1,0
5.8,30.9,2,2,43.3,4,2,0,0,24.2,0
146.0,14.9,3,2,43.9,3,1,0,0,44.9,0
13.8,20.3,0,1,32.7,6,3,2,2,25.6,0
25.4,21.3,1,0,65.7,2,3,0,0,22.3,0
16.7,22.3,1,0,50.0,3,4,1,0,28.1,0
28.5,23.5,1,1,31.4,4,2,3,0,26.6,0
4.7,27.1,1,2,48.9,7,1,0,0,25.6,0
47.6,20.3,0,1,58.2,3,6,1,1,34.1,0
4.6,23.8,1,0,40.0,3,2,0,1,16.5,0
104.7,22.7,1,0,51.6,7,1,1,0,26.8,0
17.3,17.4,2,1,43.2,5,0,0,0,25.4,0
50.5,22.3,2,1,87.4,3,1,2,1,41.7,0
137.9,22.1,0,0,54.5,4,1,0,2,31.1,0
68.4,22.0,0,0,65.7,6,1,0,0,20.7,0
49.5,23.2,3,1,53.8,6,3,0,2,33.4,0
25.5,23.5,1,1,68.0,6,4,0,0,28.5,0
26.3,20.4,2,1,57.1,2,4,2,3,35.3,0
72.0,30.6,0,2,69.0,4,8,2,0,44.1,0
334.1,16.0,1,1,21.6,2,2,3,0,59.3,1
70.5,18.7,1,0,73.9,5,3,0,0,30.0,0
53.0,38.0,2,1,73.1,2,4,0,0,30.0,0
85.3,16.8,0,3,56.9,4,1,3,0,41.4,0
40.7,14.9,0,2,22.8,10,3,0,0,4.7,0
4.0,27.4,1,2,33.6,6,1,0,1,21.3,0
53.7,10.5,2,0,86.2,2,2,1,0,41.7,0
205.5,21.6,3,2,17.3,4,3,0,1,48.8,0
12.5,35.9,3,2,84.1,2,2,2,0,41.5,0
76.1,13.7,3,1,71.7,6,0,2,2,45.4,0
14.6,11.1,0,0,23.7,5,3,0,0,20.7,0
49.9,14.0,0,3,94.4,4,2,1,1,38.5,0
6.6,28.4,0,1,53.2,6,2,1,0,20.1,0
38.9,29.7,0,0,89.7,7,4,1,0,29.3,0
91.7,19.9,2,0,52.6,2,3,0,0,27.5,0
27.8,27.1,2,1,26.1,7,3,0,2,18.9,0
71.1,31.3,0,1,38.9,5,1,0,0,17.4,0
103.2,33.7,1,0,33.9,2,6,0,0,27.3,0
170.3,21.5,3,1,72.0,4,2,2,1,54.2,0
17.4,9.2,1,2,44.8,3,2,0,0,12.0,0
33.1,18.1,0,1,27.4,6,3,2,2,29.0,0
10.7,20.4,1,0,21.0,3,5,0,1,17.8,0
317.9,21.4,1,1,94.2,2,1,1,0,67.9,1
170.1,21.9,1,0,79.4,7,0,0,0,38.6,0
50.5,29.7,1,0,36.4,6,4,0,0,14.5,0
119.9,30.6,0,0,49.6,4,2,0,0,30.3,0
47.8,22.0,3,2,35.7,2,4,0,1,41.1,0
63.5,29.6,1,0,61.8,10,0,0,0,20.4,0
6.1,25.1,1,0,12.1,5,3,0,1,16.4,0
91.5,23.4,3,0,55.9,2,1,2,0,46.3,0
8.9,28.4,0,1,67.6,4,3,1,3,38.9,0
113.7,23.4,0,3,60.9,4,0,1,2,45.8,0
99.0,35.3,2,3,56.5,3,4,2,0,49.0,0
80.2,14.4,0,0,53.2,4,2,0,0,21.7,0
2.4,19.9,2,0,29.1,1,0,1,0,15.3,0
23.5,22.2,0,0,53.1,5,2,3,2,29.3,0
19.8,25.6,0,2,82.3,4,4,0,1,25.9,0
29.0,30.6,1,0,78.9,5,4,0,0,30.2,0
6.0,22.9,0,0,18.9,7,2,0,0,7.9,0
179.7,14.5,2,1,75.0,4,6,1,0,52.3,0
52.5,28.1,1,0,38.2,2,1,2,1,27.3,0
23.7,27.5,3,0,43.2,8,1,0,1,33.6,0
32.9,11.3,2,0,56.1,8,1,1,0,32.2,0
38.5,23.0,0,0,48.4,6,0,0,2,12.8,0
59.7,13.5,2,1,43.6,8,0,1,0,40.7,0
47.1,19.0,1,3,21.8,4,7,1,2,41.5,0
163.7,17.6,1,0,81.3,4,0,0,0,35.9,0
44.7,27.9,2,0,39.2,8,3,0,2,31.2,0
315.1,23.7,1,3,70.9,3,5,2,0,68.9,1
123.9,15.3,1,2,62.0,9,4,0,0,36.2,0
15.2,28.3,1,0,75.8,5,2,1,3,34.1,0
173.4,14.4,0,1,34.3,4,2,2,1,35.1,0
8.0,25.0,0,0,63.2,4,3,1,0,24.7,0
110.5,18.1,1,1,15.3,2,4,2,0,25.1,0
31.1,20.8,0,3,63.9,12,1,0,0,25.1,0
136.7,26.0,0,1,25.0,6,2,2,1,30.3,0
131.6,26.1,0,1,66.2,3,0,1,0,40.1,0
106.6,31.0,1,0,46.2,3,4,0,0,32.0,0
101.5,22.5,1,1,62.3,3,2,1,0,37.2,0
23.6,24.8,2,1,73.8,6,1,1,1,40.8,0
5.5,20.4,1,1,60.3,3,1,2,2,33.1,0
33.5,24.1,1,0,66.8,7,2,0,3,32.4,0
12.4,25.6,1,1,57.1,9,2,3,2,38.7,0
77.2,22.4,1,1,50.2,4,1,0,0,24.5,0
27.6,12.2,1,0,53.7,4,1,1,0,25.9,0
241.4,25.0,3,0,82.1,5,2,0,1,62.7,1
66.6,25.2,3,0,26.7,5,3,0,3,39.3,0
112.4,18.9,2,1,77.2,3,2,0,1,40.8,0
9.2,15.3,3,1,25.4,4,5,0,0,24.4,0
128.7,31.9,1,2,66.8,5,2,1,2,56.1,1
166.5,25.9,1,0,48.0,6,3,0,1,36.4,0
43.4,21.6,2,2,16.3,3,4,0,0,30.9,0
60.6,16.2,1,1,23.6,4,4,3,1,33.5,0
94.1,18.1,2,0,31.6,5,2,0,0,25.8,0
12.5,30.8,2,0,57.1,3,2,1,0,28.7,0
45.4,23.8,3,0,41.2,3,3,3,0,44.9,0
33.1,19.7,0,3,51.6,6,4,2,1,37.4,0
10.3,26.1,2,0,30.5,2,3,1,0,19.7,0
29.8,18.1,1,0,69.4,6,1,0,0,33.4,0
4.6,32.0,1,0,75.8,0,2,1,0,25.9,0
1.7,31.1,0,2,81.2,3,1,0,1,24.8,0
9.4,20.2,2,0,59.5,8,0,0,1,28.6,0
214.5,19.2,3,0,59.3,9,1,2,0,51.7,0
51.8,8.0,0,1,69.9,4,1,0,0,27.0,0
219.5,14.1,1,1,89.0,5,3,1,0,49.8,0
36.8,15.0,1,1,21.0,4,1,0,0,19.1,0
24.3,23.8,3,1,47.9,1,3,0,0,36.0,0
45.9,21.0,1,2,65.1,2,4,0,2,32.7,0
37.6,14.9,0,2,98.6,2,1,0,0,30.3,0
7.3,21.3,1,2,44.1,4,1,2,0,28.6,0
66.6,26.0,1,0,20.4,8,0,1,2,29.8,0
15.8,26.2,0,2,48.1,6,3,0,0,22.9,0
62.8,11.6,1,0,19.2,5,3,0,1,21.7,0
68.3,22.2,3,0,64.2,5,2,0,0,40.7,0
10.7,14.7,2,3,47.0,10,6,3,2,50.9,0
4.1,28.4,0,2,39.8,7,6,0,0,18.6,0
98.6,27.7,3,1,53.6,3,3,0,2,39.8,0
40.0,17.6,1,2,33.4,4,4,0,0,29.4,0
3.9,18.4,0,3,33.1,3,4,0,2,30.2,0
342.7,20.2,0,1,41.3,4,4,0,0,50.8,0
3.9,9.5,0,1,61.6,6,2,0,1,15.7,0
77.2,25.0,2,2,48.3,7,3,2,0,39.8,0
267.5,21.4,0,0,44.1,4,5,0,2,52.6,0
17.8,28.8,0,0,51.0,9,1,2,3,32.7,0
10.0,16.4,2,2,60.8,3,2,0,0,22.8,0
8.4,19.3,1,0,52.9,2,3,2,1,30.4,0
23.5,14.0,2,0,70.5,5,2,0,0,27.8,0
6.9,17.0,2,0,46.2,4,4,0,1,29.4,0
76.6,15.9,0,0,34.5,3,3,1,0,20.1,0
4.2,29.0,2,3,27.1,6,1,2,2,41.1,0
46.3,18.8,0,1,20.9,6,2,0,0,14.1,0
350.0,23.7,1,1,73.7,3,1,0,1,48.9,0
109.3,20.7,1,3,75.0,4,2,1,0,41.1,0
62.1,15.4,0,2,65.9,7,2,0,3,37.3,0
23.8,22.0,3,1,39.1,3,3,0,0,29.0,0
63.6,26.6,1,2,25.4,3,4,0,1,25.8,0
48.7,15.8,0,1,43.3,1,1,1,1,17.0,0
36.1,27.9,3,0,63.6,5,6,2,2,52.5,0
9.1,17.9,1,0,82.9,8,2,0,0,32.6,0
141.5,20.1,1,1,79.6,4,3,0,0,36.9,0
38.8,26.2,1,1,76.1,5,3,1,0,36.9,0
14.1,19.0,2,1,38.5,7,3,2,0,33.8,0
29.8,23.2,0,1,57.0,3,1,1,1,19.7,0
34.8,21.1,0,0,53.5,2,5,0,3,29.3,0
114.2,23.8,1,0,37.0,4,2,0,0,37.5,0
86.0,8.7,0,1,38.8,7,2,0,0,17.6,0
95.3,12.0,2,0,69.3,2,2,0,0,39.4,0
0.7,26.7,1,1,48.3,1,2,1,0,21.5,0
35.0,29.2,0,1,75.7,5,2,3,1,36.1,0
42.7,17.5,0,1,80.3,3,3,2,0,38.4,0
1.3,21.5,2,0,89.9,4,3,1,2,36.6,0
19.6,24.8,2,1,43.6,2,2,2,0,30.7,0
92.8,27.2,1,2,43.8,5,5,1,2,41.5,0
9.6,10.8,1,3,48.7,8,0,2,1,29.7,0
49.8,17.7,0,2,64.1,5,5,0,1,36.7,0
15.8,21.0,1,1,26.5,2,3,0,0,18.8,0
0.8,27.2,0,0,87.7,2,2,2,2,41.3,0
17.9,38.0,1,1,40.8,4,5,0,1,25.8,0
242.1,21.6,1,3,28.6,5,7,1,0,52.4,0
105.1,14.6,3,0,18.3,5,2,0,2,33.8,0
208.5,25.4,1,0,73.4,8,3,1,0,47.3,0
43.5,30.9,2,0,30.9,7,7,0,2,39.2,0
7.6,23.6,1,1,40.9,8,5,2,1,29.9,0
51.6,17.6,3,1,75.7,6,2,2,0,47.0,0
39.4,28.7,1,0,48.7,3,4,0,1,23.9,0
120.9,27.0,0,2,54.7,3,3,1,0,29.8,0
6.7,16.8,2,1,67.0,8,5,3,0,43.3,0
43.5,25.3,0,0,90.8,7,1,1,0,22.9,0
10.6,29.0,0,0,55.0,8,2,0,1,20.3,0
25.5,30.1,0,0,49.6,4,5,0,0,16.9,0
86.9,22.6,2,1,28.6,2,3,1,0,30.1,0
42.0,20.9,0,0,55.9,4,2,3,0,28.2,0
30.6,30.4,2,1,16.7,11,5,2,0,32.0,0
32.6,15.7,1,2,69.1,3,2,1,1,33.9,0
40.0,25.6,0,1,42.7,4,1,0,0,19.3,0
99.9,14.8,1,0,50.8,3,1,1,0,29.5,0
144.7,29.4,0,1,56.5,1,2,1,3,53.0,0
202.1,21.5,1,2,81.8,7,1,1,2,52.7,0
100.5,30.6,1,0,82.3,4,0,2,1,36.6,0
24.6,25.9,1,0,78.4,3,3,0,2,29.9,0
75.7,15.7,0,1,85.9,2,6,1,1,36.3,0
37.4,31.5,1,1,48.0,6,5,1,2,40.1,0
19.1,32.3,2,0,23.9,3,1,2,0,30.3,0
119.5,28.3,2,1,60.6,6,4,0,0,38.7,0
2.5,18.4,2,1,78.9,5,3,0,0,33.0,0
150.8,21.2,0,2,30.5,6,1,0,0,30.4,0
40.2,23.9,2,0,72.4,4,2,2,0,34.6,0
65.9,18.8,0,2,8.4,2,2,0,0,18.0,0
70.0,33.2,0,0,78.6,2,3,0,1,32.3,0
146.6,23.9,2,1,88.3,4,2,1,0,42.6,0
65.8,8.0,3,1,18.2,4,3,0,0,24.1,0
61.9,25.0,1,0,69.3,3,0,0,0,23.8,0
